Enrolment_Number,Rank,Aadhaar_Number,Student_First_name,Student_Middle_Name,Student_Last_Name,Student_Name,Fathers_First_Name,Fathers_Middle_Name,Fathers_Last_Name,Fathers_Name,Mothers_First_Name,Mothers_Middle_Name,Mothers_Last_Name,Mothers_Name,Sex,Date_Of_Birth,Address,Email,Mobile_Number,Blood_Group,Nearest_Railway_Station,Nearest_Police_Station,Education,Education_Marks,Identification_mark,Criminal_Court,Name_of_School_College,Enroll_Permission,Earlier_candidate,Earlier_Enrolment_Number,Dismissed,Certificate,Camps_Attended,Extra_Curricular_Activities,Special_Achievements,Enrol_Date,Remarks,Meal_Preference,Bank_Name,Branch,Account_Name,Account_Number,IFSC_Code,MICR,Pan_Number,Institution,Unit,Seniority
kar1,Sergent (SGT),252352352352,amith,,,amith,amar,,,amar,,,,,Male,01/Jan/2000,dsfsafdas,,,O+,,,,,,,,,No,,,,,SINGING,,28/Jul/2017,REMARK1,Veg,,,,,,,,1/4 Coy Govt.Science College Tumukur,4KAR,senior
kar2,Sergent (SGT),983578235689,aman,,,aman,suman,klaslf,lfsd,suman,rathna,,singh,rathna,Female,01/Jan/2000,fkjsfslkfsf,,,O+,,,,,,,,,No,,,,,DANCING,,28/Jul/2017,REMARK2,Veg,,,,,,,,1/4 Coy Govt.Science College Tumukur,4KAR,senior
kar3,Cadet (CDT),238947289348,Natesh M Bhat,,,Natesh M Bhat,sdfas,,,sdfas,fsdfsdf,,,fsdfsdf,Male,01/Jan/2000,dsfsdasdf,,,O+,,,,,,,,,No,,,,,TABLA,,28/Jul/2017,,Veg,,,,,,,,1/4 Coy Govt.Science College Tumukur,4KAR,senior
kar4,Cadet (CDT),785785787886,yugiuiui,,,yugiuiui,yhjivfhjhfj,,,yhjivfhjhfj,,,,,Male,01/Jan/2000,kjkjkjkjkiuiupg9pg,,,O+,,,,,,,,,No,,,,,"GUITAR , CRICKET",,28/Jul/2017,REMARK3,Veg,,,,,,,,1/4 Coy Govt.Science College Tumukur,4KAR,senior
kar5,Cadet (CDT),298357423642,Suresh,,,Suresh,,,,,,,,,Male,01/Jan/2000,dsfsdfasd,,,O+,,,,,,,,,No,,,,,BADMINTON,,28/Jul/2017,,Veg,,,,,,,,1/4 Coy Govt.Science College Tumukur,4KAR,senior
kar6,Cadet (CDT),534534534634,dsgfdas,fsdfs,,dsgfdas,,,,,,,,,Male,01/Jan/2000,sdafsdfasf,,,O+,,,,,,,,,No,,,,,TENNIS,,28/Jul/2017,REMARK5,Veg,,,,,,,,1/4 Coy Govt.Science College Tumukur,4KAR,senior
kar7,Cadet (CDT),289367428934,dskljfkldjsfds,,,dskljfkldjsfds,,,,,,,,,Male,01/Jan/2000,dafadsfads,,,O+,,,,,,,,,No,,,,,,,29/Jul/2017,,Veg,,,,,,,,1/4 Coy Govt.Science College Tumukur,4KAR,senior
kar8,Cadet (CDT),289348923894,flkjdasfkl,,,flkjdasfkl,,,,,,,,,Male,01/Jan/2000,lkdsvkjdksdsf,,,O+,,,,,,,,,No,,,,,,,29/Jul/2017,,Veg,,,,,,,,1/4 Coy Govt.Science College Tumukur,4KAR,senior
kar9,Sergent (SGT),289365699568,sdfsdafsdafas,,,sdfsdafsdafas,,,,,,,,,Male,01/Jan/2000,dasfdsafdasfdas,,,O+,,,,,,,,,No,,,,,,,29/Jul/2017,,Veg,,,,,,,,1/4 Coy Govt.Science College Tumukur,4KAR,senior
kar10,Corporal (CPL),534534534533,dfsg,,,dfsg,,,,,,,,,Male,01/Jan/2000,dfsgsgdf,,,O+,,,,,,,,,No,,,,,,,29/Jul/2017,,Veg,,,,,,,,1/4 Coy Govt.Science College Tumukur,4KAR,senior
